atributo,pos_teste,cluster_a,cluster_b,estatistica,p_bruto,p_ajustado,significativo,dif_mediana_a_minus_b,n_a,n_b
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,4_0,-1.9123791593520307,0.05582757912044256,0.15495001551796303,False,-6.0,52,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,4_1,-1.1325126341504663,0.2574189757896599,0.3943621965127347,False,-26.0,52,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,4_2,-5.604158307141642,2.0926937858169084e-08,2.8460635487109953e-06,True,-58.0,52,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),2_4,4_3,-2.881573800776779,0.003956945576187502,0.025625933255309537,True,-27.0,52,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,3_1,1.7504356856362002,0.08004316280597261,0.1884047547704499,False,41.0,11,109
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,3_3,2.053671867055073,0.0400074612029989,0.12653522613041512,False,41.0,11,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,3_4,0.381585420316337,0.7027689002799697,0.7898890118849247,False,-15.0,11,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,4_0,3.2599007407643716,0.0011145121044919336,0.008420758122827943,True,62.0,11,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,4_1,2.7866803222034804,0.0053250981892312655,0.030175556405643837,True,42.0,11,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,4_2,0.03698286316579191,0.970498669605404,0.977687548639518,False,10.0,11,26
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_0,4_3,1.8894388690083028,0.058833046768781296,0.1600258872110851,False,41.0,11,27
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_1,3_3,0.7684295900752156,0.4422320064457411,0.5896426752609881,False,0.0,109,47
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_1,3_4,-0.6501172495494101,0.5156164877705753,0.6553630124934415,False,-56.0,109,4
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_1,4_0,3.4951166359261188,0.00047385463393238093,0.0049572484780618315,True,21.0,109,103
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_1,4_1,2.0193073723641315,0.04345528210495787,0.1343163265062334,False,1.0,109,19
Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),Dunn + FDR(pares),3_1,4_2,-2.4762854128594016,0.01327574031535053,0.052271586359272176,False,-31.0,109,26
